model,seed,fold,subject,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_dpd_v3,41,0,Subject_12,Image_12L,58739,570453,19284,10188,0.9807703768816285,0.9552548795744112,0.8521914489242242,0.9673006780988813,0.7528421106596773,0.7994419870704321,0.6658920089331263,11247,4697,1153,110,55,19,36,0.5858097500142956,0.788888888888889,1468,0.5762942779291553,23,652,0.5368098159509203
unet_dpd_v3,41,0,Subject_12,Image_12R,61098,576423,17334,9385,0.985706071029666,0.9597750812959172,0.8668473248868521,0.9708062389159201,0.7789932680538556,0.8205754960883725,0.6957422822460344,15132,5761,955,152,96,21,35,0.6983790857861224,1.0,2020,0.7029702970297029,32,932,0.7360515021459227
unet_dpd_v3,41,1,Subject_01,Image_01L,57107,589368,7713,9663,0.9915859590184667,0.9738254517956589,0.8552793170585592,0.9870821546825305,0.8810089478556001,0.8679534919066798,0.7667118671374676,10607,4103,1701,125,69,18,38,0.6205085567392208,0.8823529411764706,1812,0.5711920529801324,29,939,0.5122470713525027
unet_dpd_v3,41,1,Subject_01,Image_01R,56342,584095,5160,16241,0.986977328168799,0.9676642924703628,0.7762423708030806,0.991243179947561,0.9161002894214823,0.8403922884737294,0.7247211967636957,9592,4886,897,96,40,15,41,0.5005287204595869,0.5192307692307692,1366,0.4743777452415813,22,655,0.47480916030534354
unet_dpd_v3,41,1,Subject_06,Image_06L,57063,579951,7127,14792,0.9786909923740742,0.9667356165194337,0.7941409783591956,0.9878602161893308,0.8889702445863842,0.8388841927303465,0.7224810716365754,9426,4367,409,112,46,16,50,0.485294740412474,0.4097222222222222,1540,0.5240259740259741,24,696,0.5919540229885057
unet_dpd_v3,41,1,Subject_06,Image_06R,59870,581747,9438,11581,0.9866190885874162,0.9682797191821755,0.837916894095254,0.9840354542148397,0.8638252438390951,0.850673846787772,0.7401500822114255,12688,5371,659,144,77,19,48,0.5964804194843374,0.875,1992,0.5697791164658634,35,1026,0.5672514619883041
unet_dpd_v3,41,1,Subject_13,Image_13L,49883,587828,13629,9022,0.9841884925604567,0.9656991165451676,0.8468381291910704,0.9773400259702688,0.7854106310618466,0.8149685092756725,0.6877188628780986,12009,4837,795,90,50,9,31,0.6009750280583614,0.8888888888888888,951,0.6035751840168244,9,251,0.6693227091633466
unet_dpd_v3,41,1,Subject_13,Image_13R,48395,585939,13602,12225,0.9799452421859348,0.960877725282166,0.7983338832068624,0.9773126441727922,0.7806022872074455,0.789368521493757,0.6520303953005847,13686,6308,902,109,44,17,48,0.4845199543888709,0.42857142857142855,1455,0.48041237113402063,22,593,0.42833052276559863
unet_dpd_v3,41,2,Subject_02,Image_02L,61019,578054,9006,16636,0.983235032731964,0.9614240689618859,0.785770394694482,0.9846591489796613,0.8713887897179579,0.8263678223185266,0.7041114226699438,11658,5295,485,198,75,27,96,0.44168975261546517,0.29166666666666663,2882,0.46564885496183206,42,1321,0.5094625283875852
unet_dpd_v3,41,2,Subject_02,Image_02R,59111,576703,9481,15334,0.9827389341424331,0.9624373135299843,0.7940224326684129,0.9838258976703561,0.8617768836015862,0.8265134196047177,0.7043228558492005,14513,6512,230,178,63,23,92,0.41992890319649157,0.16666666666666666,2507,0.41204627044276027,37,1157,0.3656006914433881
