observer,architecture,seed,image_id,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
OBSERVER_1,DPD-2,43,06,0.9730755680841061,0.9503734082347615,0.7503192649120075,0.9832441118969876,0.8803493768958082,0.8101499966368467,0.680884140309223,5832,97,81,23,82,0.5167990226023214,0.6385542168674698
OBSERVER_1,DPD-2,43,07,0.9771327381535674,0.9563324914900626,0.7815817409766455,0.983000136687406,0.8752507615721822,0.8257684623742596,0.7032415975165662,4950,26,91,20,54,0.5837628865979382,0.4148148148148148
OBSERVER_1,DPD-2,43,08,0.976179988566864,0.9544058104844438,0.7612941966020275,0.9821668858568984,0.8598843008178735,0.8075914268585132,0.6772774408446721,4749,90,84,16,44,0.6373546511627907,0.7296137339055794
OBSERVER_1,DPD-2,43,09,0.9769284082115314,0.9596547483088816,0.774682124158564,0.9842723472028668,0.8676439790575916,0.8185320557147091,0.692809364548495,4456,25,88,17,65,0.5860904794058069,1.0
OBSERVER_1,DPD-2,43,10,0.9782621143696071,0.9566932943888234,0.8253903948143784,0.9745029473473874,0.8145011811739051,0.8199096346973495,0.6947854662698413,3736,105,124,27,64,0.6384714469729498,0.6339622641509434
OBSERVER_1,DPD-2,43,11,0.976020232997866,0.9511619127885029,0.8417025022855789,0.9674653648105467,0.7939570091666933,0.8171329016140166,0.6908070253445976,3860,241,151,24,64,0.691063829787234,0.7701421800947867
OBSERVER_1,DPD-2,43,12,0.9845620335234377,0.9591485248566596,0.8499122499122499,0.9747783943951988,0.8282254754412368,0.838928732287011,0.7225471472905228,3042,106,129,11,32,0.7775577557755775,0.6526946107784432
OBSERVER_1,DPD-2,43,13,0.9774404252677247,0.9536,0.8093451568894953,0.9774287060558879,0.8555555555555555,0.8318090564354227,0.7120488829482529,4443,67,108,22,49,0.6783343391671696,0.5968586387434555
OBSERVER_1,DPD-2,43,14,0.984624826517522,0.9581233894462795,0.8722165896887086,0.9696069228954488,0.7932247379025373,0.8308473727510105,0.7106406412531359,2334,343,130,15,17,0.8633093525179856,0.9295774647887324
OBSERVER_1,DPD-2,43,15,0.9853060251223645,0.9601000905916602,0.8863289852617313,0.9686478688009736,0.7661163378116191,0.8218500265074908,0.6975767474417519,2068,281,106,16,18,0.8362068965517241,0.898989898989899
OBSERVER_1,DPD-2,43,16,0.9855213412071714,0.9585232812458826,0.8464972642744453,0.9753869319818295,0.838113596330885,0.8422845691382765,0.7275402458023196,4146,271,112,10,12,0.8645833333333334,0.8307692307692308
OBSERVER_1,DPD-2,43,17,0.9828182645892566,0.9568805227461883,0.8039926753078884,0.9783823908136523,0.8395006186030818,0.8213630694739931,0.6968753890202913,4770,129,87,9,19,0.8009049773755657,1.0
OBSERVER_1,DPD-2,43,18,0.9860598334449133,0.9568388309930935,0.887125152998776,0.9658854011555185,0.7714029135901018,0.825226827966554,0.702456310385559,2725,180,111,6,7,0.928,0.9368421052631579
OBSERVER_1,DPD-2,43,19,0.990184978123612,0.9624826288106673,0.9346658384185332,0.9662885397033312,0.791380483880948,0.8570758431201729,0.7498973907944885,1668,347,112,6,8,0.8995121951219512,0.9587628865979382
OBSERVER_1,DPD-2,43,20,0.9867949274201353,0.9570548911538613,0.8911144081767227,0.9649265223188149,0.7520434071858371,0.8156936716023767,0.6887522696142452,2430,674,125,10,2,0.9437751004016064,0.9348837209302325
OBSERVER_2,Standard U-Net,41,01,0.9880261384449064,0.9575714088342389,0.9112844513780551,0.9643996890534542,0.7906277258098475,0.8466791213038717,0.7341227727196559,2036,146,155,24,20,0.8074211502782931,0.7790294627383015
OBSERVER_2,Standard U-Net,41,02,0.9911146406700132,0.9642360509491885,0.892944185346773,0.9765861184663178,0.8685358073107202,0.8805708860008308,0.7866249635539534,2335,226,118,16,15,0.8267355134825014,0.8548387096774194
OBSERVER_2,Standard U-Net,41,03,0.9851046252543346,0.9596370837338909,0.8290813719813345,0.9791564817078139,0.8560526130688613,0.8423511497932276,0.7276396030132728,3243,194,107,14,17,0.7853503184713376,0.7303571428571428
